county_name,median_household_income,housing_units,state_fips,county_fips
"San Miguel County, Colorado",72829,6564,08,113
"Sedgwick County, Colorado",45855,1231,08,115
"Summit County, Colorado",100611,31508,08,117
"Teller County, Colorado",69655,13365,08,119
"Washington County, Colorado",59087,2293,08,121
"Weld County, Colorado",89182,120293,08,123
"Yuma County, Colorado",60118,4313,08,125
"Capitol Planning Region, Connecticut",88190,413960,09,110
"Greater Bridgeport Planning Region, Connecticut",83147,125378,09,120
"Lower Connecticut River Valley Planning Region, Connecticut",99742,82618,09,130
"Naugatuck Valley Planning Region, Connecticut",82939,191666,09,140
"Northeastern Connecticut Planning Region, Connecticut",83119,41503,09,150
"Northwest Hills Planning Region, Connecticut",87971,55596,09,160
"South Central Connecticut Planning Region, Connecticut",83617,246338,09,170
"Southeastern Connecticut Planning Region, Connecticut",80330,125334,09,180
"Western Connecticut Planning Region, Connecticut",118930,248939,09,190
"Kent County, Delaware",69278,73600,10,001
"New Castle County, Delaware",85309,233746,10,003
"Sussex County, Delaware",75406,144210,10,005
"District of Columbia, District of Columbia",101722,350372,11,001
"Alachua County, Florida",57566,123751,12,001
"Baker County, Florida",67872,9890,12,003
"Bay County, Florida",65999,104428,12,005
"Bradford County, Florida",54759,10771,12,007
"Brevard County, Florida",71308,290314,12,009
"Broward County, Florida",70331,859621,12,011
"Calhoun County, Florida",41526,5680,12,013
"Charlotte County, Florida",62164,111330,12,015
"Citrus County, Florida",52569,82142,12,017
"Clay County, Florida",82242,85593,12,019
"Collier County, Florida",82011,229814,12,021
"Columbia County, Florida",53501,29835,12,023
"DeSoto County, Florida",45000,15567,12,027
"Dixie County, Florida",45057,9304,12,029
"Duval County, Florida",65579,437330,12,031
"Escambia County, Florida",61642,146123,12,033
"Flagler County, Florida",69251,56326,12,035
"Franklin County, Florida",58107,8415,12,037
"Gadsden County, Florida",45721,18946,12,039
"Gilchrist County, Florida",56823,7579,12,041
"Glades County, Florida",37221,6554,12,043
"Gulf County, Florida",56250,8984,12,045
"Hamilton County, Florida",47668,5630,12,047
"Hardee County, Florida",44665,9837,12,049
"Hendry County, Florida",49259,15227,12,051
"Hernando County, Florida",59202,89635,12,053
"Highlands County, Florida",53679,57605,12,055
"Hillsborough County, Florida",70612,606334,12,057
"Holmes County, Florida",46063,8635,12,059
"Indian River County, Florida",67543,83801,12,061
"Jackson County, Florida",46144,20022,12,063
"Jefferson County, Florida",51573,6741,12,065
"Lafayette County, Florida",57852,3403,12,067
"Lake County, Florida",66239,178098,12,069
"Lee County, Florida",69368,419916,12,071
"Leon County, Florida",61317,134107,12,073
"Levy County, Florida",49933,20972,12,075
"Liberty County, Florida",51723,3118,12,077
"Madison County, Florida",43386,8362,12,079
"Manatee County, Florida",71385,208358,12,081
"Marion County, Florida",55265,179079,12,083
"Martin County, Florida",77894,81593,12,085
"Miami-Dade County, Florida",64215,1075278,12,086
"Monroe County, Florida",80111,54034,12,087
"Nassau County, Florida",84085,42121,12,089
"Okaloosa County, Florida",73988,101408,12,091
"Okeechobee County, Florida",50476,18496,12,093
"Orange County, Florida",72629,565109,12,095
"Osceola County, Florida",64312,156976,12,097
"Palm Beach County, Florida",76066,708303,12,099
"Pasco County, Florida",63187,259083,12,101
"Pinellas County, Florida",66406,516276,12,103
"Polk County, Florida",60901,320023,12,105
"Putnam County, Florida",44852,36183,12,107
"St. Johns County, Florida",100020,120920,12,109
"St. Lucie County, Florida",66154,150054,12,111
"Santa Rosa County, Florida",84715,76585,12,113
"Sarasota County, Florida",77213,254601,12,115
"Seminole County, Florida",79490,194744,12,117
"Sumter County, Florida",70105,76923,12,119
"Suwannee County, Florida",49729,18948,12,121
"Taylor County, Florida",46239,11110,12,123
"Union County, Florida",64043,4716,12,125
"Volusia County, Florida",63075,273835,12,127
"Wakulla County, Florida",72035,13843,12,129
"Walton County, Florida",74832,56744,12,131
"Washington County, Florida",47536,10874,12,133
"Appling County, Georgia",43268,8524,13,001
"Atkinson County, Georgia",38007,3494,13,003
"Bacon County, Georgia",43938,4807,13,005
"Baker County, Georgia",45417,1421,13,007
"Baldwin County, Georgia",54699,20092,13,009
"Banks County, Georgia",69096,7308,13,011
"Barrow County, Georgia",75053,30357,13,013
"Bartow County, Georgia",74812,42731,13,015
"Ben Hill County, Georgia",38255,8122,13,017
"Berrien County, Georgia",48670,8059,13,019
"Bibb County, Georgia",48897,71828,13,021
"Bleckley County, Georgia",56021,5215,13,023
"Brantley County, Georgia",40166,8173,13,025
"Brooks County, Georgia",42263,7324,13,027
"Bryan County, Georgia",90627,16753,13,029
"Bulloch County, Georgia",53675,33086,13,031
"Burke County, Georgia",50321,11106,13,033
"Butts County, Georgia",60076,9509,13,035
"Calhoun County, Georgia",48663,2044,13,037
"Camden County, Georgia",68104,22774,13,039
"Candler County, Georgia",45519,4640,13,043
"Carroll County, Georgia",66895,46510,13,045
"Catoosa County, Georgia",68896,28027,13,047
"Charlton County, Georgia",45770,4673,13,049
"Chatham County, Georgia",66171,134190,13,051
"Chattahoochee County, Georgia",52943,2971,13,053
"Chattooga County, Georgia",43556,10864,13,055
"Cherokee County, Georgia",100824,101159,13,057
"Clarke County, Georgia",48692,55905,13,059
"Clay County, Georgia",43264,1882,13,061
"Clayton County, Georgia",56207,113826,13,063
"Clinch County, Georgia",53350,3022,13,065
"Cobb County, Georgia",94244,308949,13,067
"Coffee County, Georgia",48398,17370,13,069
"Colquitt County, Georgia",47235,19143,13,071
"Columbia County, Georgia",92571,59195,13,073
"Cook County, Georgia",46706,7318,13,075
"Coweta County, Georgia",90031,57067,13,077
"Crawford County, Georgia",56948,5187,13,079
"Crisp County, Georgia",47463,9926,13,081
"Dade County, Georgia",59531,7385,13,083
"Dawson County, Georgia",84516,12118,13,085
"Decatur County, Georgia",47383,13018,13,087
"DeKalb County, Georgia",76044,325979,13,089
"Dodge County, Georgia",46091,8617,13,091
"Dooly County, Georgia",54109,4848,13,093
"Dougherty County, Georgia",45640,40591,13,095
"Douglas County, Georgia",76930,54382,13,097
"Early County, Georgia",48355,4919,13,099
"Echols County, Georgia",61184,1546,13,101
"Effingham County, Georgia",79474,24567,13,103
"Elbert County, Georgia",48190,9316,13,105
"Emanuel County, Georgia",47905,9982,13,107
"Evans County, Georgia",55222,4664,13,109
"Fannin County, Georgia",54857,17812,13,111
"Fayette County, Georgia",105910,45307,13,113
"Floyd County, Georgia",57868,40568,13,115
"Forsyth County, Georgia",131660,88181,13,117
"Franklin County, Georgia",52597,10655,13,119
"Fulton County, Georgia",86267,493587,13,121
"Gilmer County, Georgia",70334,17850,13,123
"Glascock County, Georgia",60469,1411,13,125
"Glynn County, Georgia",65970,42418,13,127
"Gordon County, Georgia",57555,22876,13,129
"Grady County, Georgia",51929,11506,13,131
"Greene County, Georgia",77527,10142,13,133
"Gwinnett County, Georgia",82296,331184,13,135
"Habersham County, Georgia",61292,18491,13,137
"Hall County, Georgia",74153,77473,13,139
"Hancock County, Georgia",31767,4940,13,141
"Haralson County, Georgia",65940,12385,13,143
"Harris County, Georgia",85936,14306,13,145
"Hart County, Georgia",61765,12878,13,147
"Heard County, Georgia",62965,4790,13,149
"Henry County, Georgia",79663,87142,13,151
"Houston County, Georgia",76968,66889,13,153
"Irwin County, Georgia",46383,4168,13,155
"Jackson County, Georgia",82056,28209,13,157
"Jasper County, Georgia",57374,6334,13,159
"Jeff Davis County, Georgia",41780,6372,13,161
"Jefferson County, Georgia",46865,7167,13,163
"Jenkins County, Georgia",31463,4451,13,165
"Johnson County, Georgia",47796,3587,13,167
"Jones County, Georgia",66288,11662,13,169
"Lamar County, Georgia",64966,7635,13,171
"Lanier County, Georgia",39971,4119,13,173
"Laurens County, Georgia",46776,21943,13,175
"Lee County, Georgia",83632,12697,13,177
"Liberty County, Georgia",55149,26877,13,179
"Lincoln County, Georgia",50754,4446,13,181
"Long County, Georgia",56819,6383,13,183
"Lowndes County, Georgia",52821,49247,13,185
"Lumpkin County, Georgia",67592,13183,13,187
"McDuffie County, Georgia",54752,9423,13,189
"McIntosh County, Georgia",51262,6814,13,191
"Macon County, Georgia",33960,5169,13,193
"Madison County, Georgia",53626,12253,13,195
"Marion County, Georgia",48836,3550,13,197
"Meriwether County, Georgia",52392,9522,13,199
"Miller County, Georgia",52132,2849,13,201
"Mitchell County, Georgia",45966,9044,13,205
"Monroe County, Georgia",74867,11179,13,207
"Montgomery County, Georgia",49138,3773,13,209
"Morgan County, Georgia",81524,8474,13,211
"Murray County, Georgia",60617,16080,13,213
"Muscogee County, Georgia",54561,90488,13,215
"Newton County, Georgia",70732,42037,13,217
"Oconee County, Georgia",116221,15073,13,219
"Oglethorpe County, Georgia",66672,6395,13,221
"Paulding County, Georgia",89237,59896,13,223
"Peach County, Georgia",60940,12023,13,225
"Pickens County, Georgia",72558,14979,13,227
"Pierce County, Georgia",54861,8389,13,229
