,geo_id,county_name,military_count,total_military_area_m,pct_military
278,32031,Washoe County,1,243480.1556777394,1.437242592365145e-05
279,33011,Hillsborough County,1,11682132.495669974,0.005053891799448316
280,33015,Rockingham County,2,927680.5360144486,0.0004503999270192531
281,33017,Strafford County,1,423183.71535085124,0.0004270711062144486
282,34001,Atlantic County,1,1197778.6931248729,0.0006883605642600814
283,34005,Burlington County,2,112688307.13807794,0.05303624088426269
284,34021,Mercer County,1,320309.88624628715,0.0005403952536959061
285,34025,Monmouth County,3,35719521.16659415,0.020851825158237528
286,34027,Morris County,1,26611656.8594301,0.021337940301838474
287,34029,Ocean County,2,93892449.98200166,0.03962684686071064
288,35001,Bernalillo County,1,203249201.87476388,0.06722327834312158
289,35009,Curry County,3,22742798.434240356,0.0062338358866750425
290,35013,Doña Ana County,3,2444597017.740894,0.2474105490067112
291,35027,Lincoln County,1,733361837.4213136,0.058607590969226894
292,35035,Otero County,3,6060970695.13195,0.35313341526654507
293,35041,Roosevelt County,1,229831809.82775372,0.03617163822910227
294,35043,Sandoval County,1,483046.34210253553,5.021161256813694e-05
295,35049,Santa Fe County,1,1341793.1111482035,0.00027104167267569333
296,35051,Sierra County,1,2121713525.5165384,0.19328850129668115
297,35053,Socorro County,1,2050719515.0743322,0.11909696599688303
298,36001,Albany County,1,536812.2305117658,0.0003886436352449312
299,36045,Jefferson County,1,362447718.0202659,0.07537714579961655
300,36047,Kings County,2,690900.858444553,0.0027543119960541725
301,36049,Lewis County,1,78109295.90921943,0.02334914399706603
302,36063,Niagara County,2,6026619.558985889,0.002041784106969304
303,36065,Oneida County,2,474872.4377928664,0.00014577513060863107
304,36067,Onondaga County,2,2475985.7753273966,0.0011866462791302124
305,36071,Orange County,3,65262799.15760328,0.030058033351123597
306,36079,Putnam County,1,222.4804022521539,3.4894526447160066e-07
307,36089,St. Lawrence County,1,112448.43575623249,1.538934787187672e-05
308,36091,Saratoga County,1,91069.61137105792,4.167373143360942e-05
309,36093,Schenectady County,1,510162.8516510271,0.000940467508958917
310,36103,Suffolk County,1,363124.59151442646,5.9076344253953484e-05
311,36119,Westchester County,1,6365699.665068472,0.004914824138856402
312,37019,Brunswick County,1,37663372.88003094,0.013855684766040514
313,37031,Carteret County,3,57822354.014326274,0.016780771229783387
314,37049,Craven County,1,45978168.49320047,0.02295703215016421
315,37051,Cumberland County,1,191402236.10106754,0.1122297839742195
316,37053,Currituck County,1,3392451.129963707,0.0024881549010645028
317,37055,Dare County,1,185951209.16433534,0.04656844375409641
318,37063,Durham County,2,9074713.483450336,0.011763029967249341
319,37077,Granville County,1,10812617.979172174,0.007765711011923802
320,37085,Harnett County,1,62367536.37939568,0.04003921053776246
321,37093,Hoke County,2,362530609.4137706,0.3573698432941386
322,37095,Hyde County,1,2737487.207129858,0.0007244143702824529
323,37103,Jones County,1,3845254.065775165,0.0031342013193100026
324,37119,Mecklenburg County,1,426716.5881417949,0.00030171504529567426
325,37125,Moore County,2,14127218.396901548,0.007729506862448229
326,37129,New Hanover County,2,9205053.80468249,0.010806798084096255
327,37133,Onslow County,2,504199788.8913613,0.21506189242548968
328,37153,Richmond County,1,10431430.925522882,0.008396026686583758
329,37165,Scotland County,1,18233384.77778453,0.02195703332857245
330,37183,Wake County,1,326834.31995184446,0.00014724579771502682
331,37191,Wayne County,1,13078305.180844389,0.009053903866822826
332,38005,Benson County,1,47.164413791285504,1.2651332473955021e-08
333,38015,Burleigh County,1,339240.5638686364,7.850336141236971e-05
334,38017,Cass County,1,1043293.642328666,0.00022786258819020605
335,38027,Eddy County,1,36602877.87031195,0.021939911024440175
336,38035,Grand Forks County,1,21260992.086361814,0.005702942489114157
337,38067,Pembina County,1,1137032.1318242927,0.00039154010402201903
338,38071,Ramsey County,1,10207416.219110152,0.003029274764904844
339,38101,Ward County,1,20096322.662213333,0.0037739827861639655
340,39003,Allen County,1,1491776.293297278,0.0014156974522982475
341,39023,Clark County,2,552457.8654633986,0.0005312448986673526
342,39035,Cuyahoga County,1,124919.15298480564,3.872380000534524e-05
343,39049,Franklin County,4,3568695.9269898375,0.002534636869887991
344,39057,Greene County,1,21047558.48003452,0.01952281313649911
345,39095,Lucas County,1,547829.4248367378,0.00035499317146794705
346,39113,Montgomery County,1,85932.76206552814,7.146832542459152e-05
347,39115,Morgan County,1,1815516.8357828658,0.0016619419895023359
348,39123,Ottawa County,1,2339970.853199633,0.0015441905921582699
349,39129,Pickaway County,1,26839.068168513204,2.0457147879334375e-05
350,39133,Portage County,1,82046670.8592926,0.06284400953940479
351,39139,Richland County,1,267592.63563856785,0.00020660463990605711
352,39141,Ross County,1,1844463.665112951,0.0010275989508380066
353,39155,Trumbull County,2,6999595.439215107,0.004249053835449257
354,40003,Alfalfa County,1,4906617.457450902,0.002149254335458092
355,40021,Cherokee County,1,56106.839559463355,2.7915373856263218e-05
356,40027,Cleveland County,2,1580490.866182734,0.0010937846538337053
357,40031,Comanche County,1,379293580.71526563,0.13511489416533645
358,40047,Garfield County,1,13698834.30276602,0.004989382190627278
359,40053,Grant County,1,3408.5132500672316,1.3114977049498585e-06
360,40065,Jackson County,1,16573770.072749313,0.007956778193492126
361,40097,Mayes County,1,2139924.5124441264,0.0012087507113254954
362,40101,Muskogee County,2,135652025.91712257,0.06235079840038173
363,40109,Oklahoma County,4,26261199.493147623,0.014113183108849457
364,40121,Pittsburg County,1,181756011.8219447,0.050930521034151605
365,40135,Sequoyah County,1,24944.39000231619,1.3486173582482858e-05
366,40143,Tulsa County,1,406659.23196053284,0.0002675666763620851
367,41003,Benton County,1,2091309.3494680908,0.0011906541632123397
368,41005,Clackamas County,1,326579.27192692907,6.69633809312441e-05
369,41007,Clatsop County,1,7345086.131743408,0.002617167937067203
370,41013,Crook County,1,36211243.08580921,0.004680634398275062
371,41017,Deschutes County,2,80190591.85409446,0.010137488863633328
372,41035,Klamath County,1,644219.2314910701,4.0528842933873535e-05
