,GEOID,NAMELSAD
2148,19027,Carroll County
2149,37177,Tyrrell County
2150,27131,Rice County
2151,29219,Warren County
2152,21227,Warren County
2153,22017,Caddo Parish
2154,46121,Todd County
2155,19127,Marshall County
2156,40141,Tillman County
2157,37113,Macon County
2158,54063,Monroe County
2159,18155,Switzerland County
2160,21105,Hickman County
2161,01061,Geneva County
2162,17099,LaSalle County
2163,19055,Delaware County
2164,20127,Morris County
2165,19051,Davis County
2166,16015,Boise County
2167,55081,Monroe County
2168,37143,Perquimans County
2169,12047,Hamilton County
2170,31039,Cuming County
2171,53069,Wahkiakum County
2172,35011,De Baca County
2173,31109,Lancaster County
2174,31129,Nuckolls County
2175,72085,Las Piedras Municipio
2176,46099,Minnehaha County
2177,48327,Menard County
2178,06091,Sierra County
2179,21053,Clinton County
2180,39063,Hancock County
2181,48189,Hale County
2182,01027,Clay County
2183,48011,Armstrong County
2184,39003,Allen County
2185,13189,McDuffie County
2186,55111,Sauk County
2187,05137,Stone County
2188,41063,Wallowa County
2189,42007,Beaver County
2190,28061,Jasper County
2191,29083,Henry County
2192,08109,Saguache County
2193,37037,Chatham County
2194,53057,Skagit County
2195,28067,Jones County
2196,55021,Columbia County
2197,37019,Brunswick County
2198,27029,Clearwater County
2199,51131,Northampton County
2200,20163,Rooks County
2201,18041,Fayette County
2202,31079,Hall County
2203,31081,Hamilton County
2204,31115,Loup County
2205,06101,Sutter County
2206,42105,Potter County
2207,48465,Val Verde County
2208,20077,Harper County
2209,19133,Monona County
2210,49023,Juab County
2211,40137,Stephens County
2212,36017,Chenango County
2213,17143,Peoria County
2214,19091,Humboldt County
2215,48391,Refugio County
2216,39017,Butler County
2217,13273,Terrell County
2218,13063,Clayton County
2219,56013,Fremont County
2220,18115,Ohio County
2221,13073,Columbia County
2222,08115,Sedgwick County
2223,30065,Musselshell County
2224,42043,Dauphin County
2225,46101,Moody County
2226,54079,Putnam County
2227,34037,Sussex County
2228,20039,Decatur County
2229,18123,Perry County
2230,28145,Union County
2231,31015,Boyd County
2232,18103,Miami County
2233,20053,Ellsworth County
2234,22123,West Carroll Parish
2235,12077,Liberty County
2236,20083,Hodgeman County
2237,20119,Meade County
2238,21149,McLean County
2239,28001,Adams County
2240,72083,Las Marías Municipio
2241,28057,Itawamba County
2242,48445,Terry County
2243,35021,Harding County
2244,01121,Talladega County
2245,55067,Langlade County
2246,48155,Foard County
2247,19021,Buena Vista County
2248,19129,Mills County
2249,48385,Real County
2250,39041,Delaware County
2251,37067,Forsyth County
2252,32510,Carson City
2253,19049,Dallas County
2254,48065,Carson County
2255,13261,Sumter County
2256,29223,Wayne County
2257,26143,Roscommon County
2258,37005,Alleghany County
2259,06035,Lassen County
2260,51610,Falls Church city
2261,12081,Manatee County
2262,39119,Muskingum County
2263,08015,Chaffee County
2264,08025,Crowley County
2265,08043,Fremont County
2266,28109,Pearl River County
2267,28111,Perry County
2268,31041,Custer County
2269,12013,Calhoun County
2270,26017,Bay County
2271,47157,Shelby County
2272,06007,Butte County
2273,01023,Choctaw County
2274,18083,Knox County
2275,31047,Dawson County
2276,20057,Ford County
2277,38105,Williams County
2278,38017,Cass County
2279,17069,Hardin County
2280,31005,Arthur County
2281,48163,Frio County
2282,37077,Granville County
2283,47091,Johnson County
2284,39013,Belmont County
2285,51195,Wise County
2286,29035,Carter County
2287,40013,Bryan County
2288,31035,Clay County
2289,24017,Charles County
2290,19033,Cerro Gordo County
2291,19073,Greene County
2292,21205,Rowan County
2293,49055,Wayne County
2294,29031,Cape Girardeau County
2295,53071,Walla Walla County
2296,29133,Mississippi County
2297,05025,Cleveland County
2298,48113,Dallas County
2299,72079,Lajas Municipio
2300,25025,Suffolk County
2301,16051,Jefferson County
2302,48177,Gonzales County
2303,47115,Marion County
2304,26007,Alpena County
2305,21231,Wayne County
2306,47185,White County
2307,08067,La Plata County
2308,48027,Bell County
2309,28069,Kemper County
2310,05019,Clark County
2311,41035,Klamath County
2312,36075,Oswego County
2313,72105,Naranjito Municipio
2314,01019,Cherokee County
2315,48019,Bandera County
2316,30087,Rosebud County
2317,35059,Union County
2318,26153,Schoolcraft County
2319,36111,Ulster County
2320,34007,Camden County
2321,47165,Sumner County
2322,51097,King and Queen County
2323,05015,Carroll County
2324,51820,Waynesboro city
2325,02220,Sitka City and Borough
2326,41051,Multnomah County
2327,47061,Grundy County
2328,27057,Hubbard County
2329,38081,Sargent County
2330,36089,St. Lawrence County
2331,29179,Reynolds County
2332,06067,Sacramento County
2333,39125,Paulding County
2334,18179,Wells County
2335,51063,Floyd County
2336,06083,Santa Barbara County
2337,54005,Boone County
2338,28009,Benton County
2339,60030,Rose Island
2340,21115,Johnson County
2341,44003,Kent County
2342,50025,Windham County
2343,50019,Orleans County
2344,20085,Jackson County
2345,22041,Franklin Parish
2346,49015,Emery County
2347,53019,Ferry County
2348,30109,Wibaux County
2349,35027,Lincoln County
2350,40021,Cherokee County
2351,27173,Yellow Medicine County
2352,48231,Hunt County
2353,48335,Mitchell County
2354,48499,Wood County
2355,40113,Osage County
2356,37039,Cherokee County
2357,26107,Mecosta County
2358,21195,Pike County
2359,29047,Clay County
2360,28027,Coahoma County
2361,18011,Boone County
2362,19057,Des Moines County
2363,19163,Scott County
2364,20143,Ottawa County
2365,12023,Columbia County
2366,12059,Holmes County
2367,28047,Harrison County
2368,72141,Utuado Municipio
2369,47011,Bradley County
2370,27017,Carlton County
2371,48315,Marion County
2372,36095,Schoharie County
2373,40117,Pawnee County
2374,36007,Broome County
2375,48291,Liberty County
2376,39009,Athens County
2377,39081,Jefferson County
2378,54083,Randolph County
2379,54049,Marion County
2380,34011,Cumberland County
2381,06057,Nevada County
2382,55031,Douglas County
2383,21199,Pulaski County
2384,27165,Watonwan County
2385,16013,Blaine County
2386,22053,Jefferson Davis Parish
2387,46119,Sully County
2388,08031,Denver County
2389,40029,Coal County
2390,30011,Carter County
2391,48461,Upton County
2392,18051,Gibson County
2393,31105,Kimball County
2394,17093,Kendall County
2395,11001,District of Columbia
2396,08085,Montrose County
2397,27171,Wright County
2398,55059,Kenosha County
2399,08037,Eagle County
2400,06075,San Francisco County
2401,08113,San Miguel County
2402,02020,Anchorage Municipality
2403,12109,St. Johns County
2404,28019,Choctaw County
2405,29079,Grundy County
2406,37025,Cabarrus County
2407,29225,Webster County
2408,45053,Jasper County
2409,48043,Brewster County
2410,39005,Ashland County
2411,31119,Madison County
2412,12085,Martin County
2413,08079,Mineral County
2414,13085,Dawson County
2415,13167,Johnson County
2416,05095,Monroe County
2417,51117,Mecklenburg County
2418,21233,Webster County
2419,40047,Garfield County
2420,53059,Skamania County
2421,26091,Lenawee County
2422,05123,St. Francis County
2423,13101,Echols County
2424,02070,Dillingham Census Area
2425,20105,Lincoln County
2426,20183,Smith County
2427,12065,Jefferson County
2428,72041,Cidra Municipio
2429,28005,Amite County
2430,05097,Montgomery County
2431,26025,Calhoun County
2432,01029,Cleburne County
2433,08123,Weld County
2434,40009,Beckham County
2435,06049,Modoc County
2436,19153,Polk County
2437,36085,Richmond County
2438,39071,Highland County
2439,27077,Lake of the Woods County
2440,16011,Bingham County
2441,72023,Cabo Rojo Municipio
2442,72069,Humacao Municipio
2443,72077,Juncos Municipio
2444,21139,Livingston County
2445,13201,Miller County
2446,47103,Lincoln County
2447,21211,Shelby County
2448,31185,York County
2449,42001,Adams County
2450,45005,Allendale County
2451,47037,Davidson County
2452,49047,Uintah County
2453,49049,Utah County
2454,18021,Clay County
2455,36047,Kings County
2456,45007,Anderson County
2457,56007,Carbon County
2458,30093,Silver Bow County
2459,17177,Stephenson County
2460,26087,Lapeer County
2461,22027,Claiborne Parish
2462,48449,Titus County
2463,54027,Hampshire County
2464,37125,Moore County
2465,20009,Barton County
2466,38087,Slope County
2467,22083,Richland Parish
2468,31071,Garfield County
2469,22099,St. Martin Parish
2470,01119,Sumter County
2471,01133,Winston County
2472,12117,Seminole County
2473,28035,Forrest County
2474,26065,Ingham County
2475,20177,Shawnee County
2476,46061,Hanson County
2477,27061,Itasca County
2478,08073,Lincoln County
2479,36053,Madison County
2480,36115,Washington County
2481,18081,Johnson County
2482,17057,Fulton County
2483,36103,Suffolk County
2484,18161,Union County
2485,29119,McDonald County
2486,31157,Scotts Bluff County
2487,35047,San Miguel County
2488,01081,Lee County
2489,48367,Parker County
2490,38021,Dickey County
2491,38003,Barnes County
2492,27143,Sibley County
2493,13293,Upson County
2494,06097,Sonoma County
2495,26033,Chippewa County
2496,16019,Bonneville County
2497,13013,Barrow County
2498,13183,Long County
2499,48271,Kinney County
2500,40115,Ottawa County
2501,42033,Clearfield County
2502,26037,Clinton County
2503,72133,Santa Isabel Municipio
2504,17135,Montgomery County
2505,28003,Alcorn County
2506,28071,Lafayette County
2507,22043,Grant Parish
2508,29005,Atchison County
2509,17115,Macon County
2510,20167,Russell County
2511,17155,Putnam County
2512,46055,Haakon County
2513,47111,Macon County
2514,05023,Cleburne County
2515,01109,Pike County
2516,16003,Adams County
2517,25005,Bristol County
2518,42107,Schuylkill County
2519,38103,Wells County
2520,37045,Cleveland County
2521,05059,Hot Spring County
2522,24021,Frederick County
2523,17169,Schuyler County
2524,06051,Mono County
2525,06109,Tuolumne County
2526,35013,Doña Ana County
2527,13081,Crisp County
2528,05027,Columbia County
2529,38039,Griggs County
2530,06095,Solano County
2531,19043,Clayton County
2532,28163,Yazoo County
2533,19067,Floyd County
2534,21145,McCracken County
2535,21225,Union County
2536,46125,Turner County
2537,47029,Cocke County
2538,47067,Hancock County
2539,47071,Hardin County
2540,45067,Marion County
2541,72057,Guayama Municipio
2542,22117,Washington Parish
2543,29207,Stoddard County
2544,13093,Dooly County
2545,27145,Stearns County
2546,31155,Saunders County
2547,27141,Sherburne County
2548,46035,Davison County
2549,47025,Claiborne County
2550,48337,Montague County
2551,48049,Brown County
2552,55101,Racine County
2553,55115,Shawano County
2554,19009,Audubon County
2555,48207,Haskell County
2556,40083,Logan County
2557,36065,Oneida County
2558,08065,Lake County
2559,40121,Pittsburg County
2560,54017,Doddridge County
