geo_id,county_name,total_energy_consumption_mwh,,,
37187,Washington County,"145,227",,,
46075,Jones County,"13,751",,,
29177,Ray County,"296,111",,,
39073,Hocking County,"374,590",,,
1085,Lowndes County,"180,309",,,
13043,Candler County,"149,211",,,
19113,Linn County,"4,016,846",,,
6105,Trinity County,"99,442",,,
13215,Muscogee County,"2,777,458",,,
28135,Tallahatchie County,"218,575",,,
20005,Atchison County,"233,134",,,
72081,Lares Municipio,"152,868",,,
17041,Douglas County,"209,825",,,
51079,Greene County,"326,811",,,
66010,Guam,,,,
55137,Waushara County,"288,975",,,
5065,Izard County,"230,032",,,
6053,Monterey County,"2,721,214",,,
35017,Grant County,"414,679",,,
29131,Miller County,"316,164",,,
37193,Wilkes County,"854,299",,,
2110,Juneau City and Borough,"265,458",,,
13087,Decatur County,"397,806",,,
18177,Wayne County,"981,965",,,
21009,Barren County,"734,126",,,
31093,Howard County,"118,511",,,
38025,Dunn County,"157,068",,,
6005,Amador County,"252,062",,,
47049,Fentress County,"273,108",,,
20031,Coffey County,"118,986",,,
26023,Branch County,"439,671",,,
31139,Pierce County,"133,276",,,
13023,Bleckley County,"172,200",,,
13033,Burke County,"332,158",,,
17181,Union County,"183,751",,,
17091,Kankakee County,"1,129,335",,,
38051,McIntosh County,"99,495",,,
31141,Platte County,"625,900",,,
37185,Warren County,"245,301",,,
72009,Aibonito Municipio,"133,675",,,
13197,Marion County,"103,674",,,
51061,Fauquier County,"1,197,655",,,
51750,Radford city,"259,938",,,
32005,Douglas County,"631,920",,,
12037,Franklin County,"142,009",,,
18055,Greene County,"458,200",,,
18139,Rush County,"247,532",,,
55131,Washington County,"1,622,228",,,
29105,Laclede County,"460,563",,,
42085,Mercer County,"1,206,605",,,
41043,Linn County,"1,833,222",,,
55065,Lafayette County,"196,310",,,
40147,Washington County,"971,230",,,
54077,Preston County,"644,086",,,
69100,Rota Municipality,,,,
55135,Waupaca County,"609,938",,,
48137,Edwards County,"22,949",,,
41037,Lake County,"114,082",,,
29153,Ozark County,"111,157",,,
19059,Dickinson County,"307,551",,,
21095,Harlan County,"446,358",,,
20061,Geary County,"519,634",,,
42011,Berks County,"4,755,373",,,
47019,Carter County,"836,542",,,
27083,Lyon County,"292,315",,,
51037,Charlotte County,"186,151",,,
47179,Washington County,"2,022,830",,,
45071,Newberry County,"609,749",,,
51093,Isle of Wight County,"614,371",,,
41069,Wheeler County,"20,754",,,
29023,Butler County,"542,878",,,
22047,Iberville Parish,"673,318",,,
28125,Sharkey County,"70,394",,,
51111,Lunenburg County,"192,198",,,
38097,Traill County,"310,262",,,
13139,Hall County,"2,915,580",,,
13283,Treutlen County,"87,868",,,
13037,Calhoun County,"77,697",,,
55125,Vilas County,"268,781",,,
27007,Beltrami County,"528,168",,,
72043,Coamo Municipio,"191,917",,,
13055,Chattooga County,"341,302",,,
45033,Dillon County,"459,656",,,
37103,Jones County,"121,111",,,
29199,Scotland County,"61,070",,,
20131,Nemaha County,"145,115",,,
20137,Norton County,"77,659",,,
72007,Aguas Buenas Municipio,"133,686",,,
72033,Cataño Municipio,"128,075",,,
55075,Marinette County,"491,542",,,
53011,Clark County,"6,023,659",,,
55099,Price County,"164,982",,,
40093,Major County,"143,751",,,
47125,Montgomery County,"3,493,901",,,
53051,Pend Oreille County,"155,050",,,
38055,McLean County,"379,226",,,
41027,Hood River County,"336,035",,,
19197,Wright County,"227,612",,,
48419,Shelby County,"407,463",,,
29055,Crawford County,"297,702",,,
51017,Bath County,"68,060",,,
56033,Sheridan County,"916,408",,,
42041,Cumberland County,"2,967,119",,,
42055,Franklin County,"1,733,370",,,
42079,Luzerne County,"3,605,552",,,
26039,Crawford County,"913,294",,,
1113,Russell County,"1,024,118",,,
39019,Carroll County,"357,123",,,
5055,Greene County,"769,386",,,
48191,Hall County,"48,299",,,
55013,Burnett County,"192,705",,,
35057,Torrance County,"222,954",,,
53049,Pacific County,"267,789",,,
37141,Pender County,"853,688",,,
48221,Hood County,"1,115,055",,,
31177,Washington County,"379,671",,,
29045,Clark County,"85,305",,,
21015,Boone County,"2,306,204",,,
21229,Washington County,"198,251",,,
22009,Avoyelles Parish,"876,054",,,
28137,Tate County,"475,884",,,
29227,Worth County,"25,711",,,
31163,Sherman County,"54,771",,,
46021,Campbell County,"23,238",,,
46063,Harding County,"17,699",,,
26057,Gratiot County,"410,945",,,
19175,Union County,"213,844",,,
17127,Massac County,"152,035",,,
27043,Faribault County,"159,863",,,
47057,Grainger County,"347,264",,,
48161,Freestone County,"327,227",,,
42087,Mifflin County,"509,907",,,
1041,Crenshaw County,"232,060",,,
51520,Bristol city,"272,626",,,
48399,Runnels County,"166,100",,,
48443,Terrell County,"16,447",,,
20153,Rawlins County,36019,,,
20193,Thomas County,"112,454",,,
13161,Jeff Davis County,"202,234",,,
19035,Cherokee County,"203,549",,,
5145,White County,"1,310,054",,,
28083,Leflore County,"483,194",,,
29053,Cooper County,"223,199",,,
26043,Dickinson County,"255,416",,,
17197,Will County,"7,418,145",,,
48117,Deaf Smith County,"313,737",,,
46011,Brookings County,"515,134",,,
19083,Hardin County,"298,098",,,
22023,Cameron Parish,"124,115",,,
39027,Clinton County,"558,907",,,
27137,St. Louis County,"2,289,368",,,
39093,Lorain County,"4,204,072",,,
47101,Lewis County,"185,464",,,
41067,Washington County,"8,433,210",,,
51810,Virginia Beach city,"7,308,386",,,
30057,Madison County,"117,286",,,
51103,Lancaster County,"175,099",,,
29013,Bates County,"206,559",,,
33001,Belknap County,"502,788",,,
51159,Richmond County,"142,793",,,
2230,Skagway Municipality,"10,943",,,
2105,Hoonah-Angoon Census Area,"19,160",,,
29159,Pettis County,"550,640",,,
30063,Missoula County,"1,670,360",,,
20019,Chautauqua County,"48,300",,,
48459,Upshur County,"685,114",,,
51047,Culpeper County,"834,448",,,
40061,Haskell County,"217,137",,,
54069,Ohio County,"797,786",,,
54065,Morgan County,"322,250",,,
51165,Rockingham County,"1,369,819",,,
18183,Whitley County,"504,488",,,
4001,Apache County,"811,888",,,
29121,Macon County,"195,295",,,
48279,Lamb County,"220,867",,,
20097,Kiowa County,"34,966",,,
48015,Austin County,"506,212",,,
29061,Daviess County,"108,116",,,
13253,Seminole County,"124,852",,,
26101,Manistee County,"245,427",,,
19119,Lyon County,"209,635",,,
48233,Hutchinson County,"349,453",,,
40139,Texas County,"397,674",,,
40153,Woodward County,"381,784",,,
19003,Adams County,"64,839",,,
55109,St. Croix County,"1,131,264",,,
