geo_id,county_name,named_wetlands,wetland_count
13255,Spalding County,[],34
13257,Stephens County,['Hicks Swamp'],12
13259,Stewart County,[],3
13261,Sumter County,['Bear Branch'],39
13263,Talbot County,[],15
13265,Taliaferro County,[],3
13267,Tattnall County,[],9
13269,Taylor County,[],96
13271,Telfair County,"['Scott Bay', 'Buzzard Bay']",574
13273,Terrell County,[],1
13275,Thomas County,['Murphys Pond'],51
13277,Tift County,['Little Creek'],28
13279,Toombs County,[],7
13281,Towns County,[],1
13283,Treutlen County,[],24
13285,Troup County,[],16
13287,Turner County,"['Deep Creek', 'Bussey Pond', 'West Fork Deep Creek']",37
13289,Twiggs County,"['Denson Marsh', 'Rays Swamp']",217
13293,Upson County,[],42
13295,Walker County,[],12
13297,Walton County,[],30
13299,Ware County,[],5
13303,Washington County,[],144
13305,Wayne County,"['Piney Bay', 'Little Buffalo Swamp']",9
13309,Wheeler County,[],186
13311,White County,[],10
13313,Whitfield County,[],22
13315,Wilcox County,"['Gator Slide', 'Buzzard Roost']",679
13317,Wilkes County,[],18
13319,Wilkinson County,[],100
13321,Worth County,[],9
16001,Ada County,[],22
16003,Adams County,['Bear Basin'],1
16005,Bannock County,[],1
16007,Bear Lake County,['Dingle Swamp'],13
16009,Benewah County,['Hnmiln Meadow'],20
16011,Bingham County,[],3
16013,Blaine County,['Carey Lake'],2
16015,Boise County,[],5
16017,Bonner County,['Mountain Meadow'],86
16019,Bonneville County,[],2
16021,Boundary County,['Bonner Swamp'],46
16025,Camas County,[],3
16027,Canyon County,['Lakeview Park Pond'],6
16029,Caribou County,['Goose Lake/Pelican Slough'],2
16031,Cassia County,['Almo Creek Wetland'],2
16035,Clearwater County,[],1
16037,Custer County,[],94
16039,Elmore County,[],2
16041,Franklin County,['Gibson Basin'],40
16043,Fremont County,"['Swan Lake', 'Robinson Lake']",69
16047,Gooding County,[],4
16049,Idaho County,"['Round Bottom Meadows', 'Wind River Meadows', 'Porcupine Meadow', 'Long Meadow', 'Goodwin Meadows', 'Lost Meadows', 'Bear Springs', 'Boundary Meadows', 'Wet Meadows', 'White Bird Meadow', 'Canteen Meadows', 'Bimerick Meadows', 'Heslip Lake', 'Greystone Lake', 'Lost Knife Meadows', 'Chain Meadows', 'Wag Meadows', 'Kooskooskia Meadows', 'Marion Meadows', 'Star Meadows']",110
16051,Jefferson County,[],3
16053,Jerome County,[],1
16055,Kootenai County,[],1737
16057,Latah County,[],5
16059,Lemhi County,[],27
16061,Lewis County,[],2
16067,Minidoka County,[],2
16071,Oneida County,['Billy Snipe Reservoir'],2
16073,Owyhee County,"[""Three Fork / Te'akate""]",98
16079,Shoshone County,[],92
16081,Teton County,[],1
16083,Twin Falls County,[],1
16085,Valley County,"['Caton Meadow', 'Lily Marsh', 'Meadow Marsh']",41
16087,Washington County,[],38
17001,Adams County,"['Polly Island', 'Blue Goose Island', 'Mud Island']",92
17067,Hancock County,"['Hardy Bar Island', 'Hunt Island', 'Old Lock']",29
17071,Henderson County,"['Moore Bar', 'Willow Bar']",21
17149,Pike County,"['Browns Island', 'Jim Young Island', 'Denmark Island', 'Taylor Island', 'Saverton Island']",15
19005,Allamakee County,[],7
19033,Cerro Gordo County,[],99
19041,Clay County,[],115
19051,Davis County,[],3
