countyCode,state,total_claims,total_building_damage,total_content_damage
22063,LA,14636,716280009.45,113419086.22
22065,LA,250,2498517.77,153245.34
22067,LA,238,5621000.71,1238682.52
22069,LA,541,8355039.13,1417062.58
22071,LA,127222,5896177097.13,1294072973.92
22073,LA,6979,137756386.92,24791435.96
22075,LA,6086,275542693.0,102808011.95
22077,LA,1890,20783018.29,4128705.48
22079,LA,4219,55527323.11,12353799.41
22081,LA,16,322823.12,58975.79
22083,LA,473,9270668.19,1801793.62
22085,LA,40,587261.03,110711.1
22087,LA,23919,1680436635.47,553971249.92
22089,LA,7449,119945755.45,36333299.46
22091,LA,64,2115732.38,448641.61
22093,LA,342,6018105.53,1505805.98
22095,LA,8974,494268056.1,159635507.83
22097,LA,970,18632288.08,3206126.86
22099,LA,1457,23466890.04,4439734.22
22101,LA,2532,30724861.44,5977992.29
22103,LA,38327,1381300602.31,383616465.01
22105,LA,4295,143649893.81,32508291.17
22107,LA,161,2250636.16,250725.91
22109,LA,13402,216317503.6,79752985.34
22111,LA,379,7678501.45,1270638.45
22113,LA,4799,143618281.16,27112598.47
22115,LA,338,7748532.7,1643202.35
22117,LA,672,12625040.87,2894025.13
22119,LA,223,5752174.68,1365880.27
22121,LA,278,6495427.6,542528.55
22123,LA,63,1511616.45,258441.3
22125,LA,370,3552541.44,743184.8
22127,LA,140,1864682.82,500942.47
23001,ME,147,1000063.56,147028.0
23003,ME,358,3545443.35,1028011.62
23005,ME,504,4800209.24,694174.19
23007,ME,88,1659253.27,143237.55
23009,ME,89,894258.47,190121.76
23011,ME,441,5601812.32,1846078.23
23013,ME,92,1491018.26,330903.58
23015,ME,148,3419518.17,211113.8
23017,ME,352,4775805.26,1048392.64
23019,ME,238,1262479.05,442659.94
23021,ME,87,1190207.62,760549.6
23023,ME,85,1037023.25,101515.8
23025,ME,138,1820490.1,202187.74
23027,ME,73,1196291.77,314622.17
23029,ME,30,84982.31,803.0
23031,ME,2666,39773740.23,4578320.24
24001,MD,376,4346116.87,1010495.14
24003,MD,2820,43000069.3,7294522.01
24005,MD,3363,51691532.93,11658133.93
24009,MD,559,7774160.66,879096.22
24011,MD,77,1260176.22,120779.79
24013,MD,138,924679.4,254123.22
24015,MD,702,11902479.63,1901762.49
24017,MD,361,5402126.15,1014455.62
24019,MD,1141,18451075.54,1737862.96
24021,MD,270,1789713.41,283827.44
24023,MD,109,867183.85,257237.9
24025,MD,353,3059202.46,845710.24
24027,MD,421,13795040.65,1954608.04
24029,MD,341,7306295.98,825550.68
24031,MD,775,4116101.74,649700.58
24033,MD,1149,6836392.28,1016571.74
24035,MD,1073,13466925.08,1486921.53
24037,MD,613,9006837.07,1661131.43
24039,MD,1258,13750999.42,920767.57
24041,MD,676,12352767.02,1410052.75
24043,MD,370,3117417.22,809710.91
24045,MD,243,5491660.99,437329.85
24047,MD,2517,16760215.45,2561369.43
24510,MD,1062,17067193.34,9642873.34
25001,MA,3175,38005427.77,4652091.53
25003,MA,388,2780735.07,260171.97
