plant_name,capacity_factor,annual_gen_gwh,co2_emissions_tons_yr,co2_per_gen,majority_owner,fuel_type,table_source,Former Fuel Type,New Fuel Type,Conversion Date,lat,lon,state_abbr,retired_date,capacity_mw
Bailly,,,,,Northern Indiana Public Service Company (NIPSCO),,table_4,Bituminous coal,Natural gas,"May 31, 2018",41.64333,-87.12278,IN,,604.0
Big Sandy,,,,,Kentucky Power Company,,table_4,Bituminous coal,Natural gas,"May 30, 2016",38.17222,-82.6175,KY,,1097.0
Cane Run,,,,,Louisville Gas and Electric,,table_4,Bituminous coal,Natural gas,June 2015,38.176675,-85.8911306,KY,,640.0
Colbert Fossil Plant [note 19],,,,,Louisville Gas and Electric,,table_4,Bituminous coal,Natural gas,"March 23, 2016",34.74083,-87.84889,AL,,1350.0
Crist [note 20],,"1,100 (2020)","2,604,934 (2019)",976 (2019),Gulf Power Company,,table_4,Bituminous coal,Natural gas,2021,30.565167,-87.225944,FL,,1135.0
Ingredion Incorporated,,242 (2019),"693,731 (2019)","2,867 (2019)",Ingredion Incorporated,,table_4,Bituminous coal,Natural gas,August 2022,41.777799,-87.824202,IL,,45.0
Intermountain Power Plant,,,,,Intermountain Power Agency,,table_4,Coal,Green Hydrogen and Natural Gas,2026,39.5075,-112.58028,UT,,840.0
Iowa State University,,107 (2019),,,Iowa State University,,table_4,"Bituminous coal, natural gas",Natural gas,December 2020,42.02775,-93.63994,IA,,46.0
Mount Tom,,,,,Firstlight Power Resources Inc,,table_4,Bituminous coal,Solar (5.76 MW) Battery Storage (3 - 5 MW),"March 23, 2016",42.28111,-72.605,MA,,136.0
Pawnee,,"2,510 (2019)","3,503,839 (2018)",,Xcel Energy,,table_4,Sub-bituminous coal (Unit 1),Natual Gas,"December 31, 2025",40.219746,-103.678693,CO,,505.0
Perry K.,,,,,Citizens Energy Group,,table_4,Bituminous coal,Natural gas,2016,39.76278,-86.16694,IN,,604.0
Prairie Creek,,43 (2019),"198,803 (2018)",,Interstate Power and Light,,table_4,Sub-bituminous coal (Units 1-4),"Natural Gas (Units 3-4), Retired (Units 1-2)","2017 (Unit 4), December 2025(Units 1-3)",41.944053,-91.638984,IA,,213.0
Reid Gardner,,,,,NV Energy California Department of Water Resources,,table_4,Bituminous coal,Battery Storage,March 2017,36.657,-114.634,NV,,557.0
Robert D. Green,,,,,Big Rivers Electric Cooperation,,table_4,Bituminous coal,Natural gas,2022,37.64,-87.5,KY,,528.0
Robert Reid,,,,,Big Rivers Electric Cooperation,,table_4,Bituminous coal,Natural gas Fuel oil,2015,37.64528,-87.50278,KY,,96.0
Rumford,,,,,ND Paper Inc,,table_4,Coal (unknown),Bioenergy: (paper mill wastes) Bioenergy: Wood & other biomass (solids) Bituminous coal[note 21] Bioenergy: Wastewater and sewage sludge (solids or biogas) Fossil liquids: unknown,2015,44.552008,-70.542397,ME,,102.6
Shawville,,,,,Midwood Holdings LLC,,table_4,Bituminous coal,Natural gas,2016,41.067089,-78.365144,PA,,625.0
Spruance,,,,,Spruance Genco LLC,,table_4,Bituminous coal,Natural Gas,2019,37.455556,-77.4308,VA,,229.6
Stockton Cogeneration [note 22],,,,,DTE Energy Co,,table_4,Bituminous coal,Wood & other biomass (solids) Natural gas,2012,37.912456,-121.261444,CA,,60.0
Syl Laskin,,,,,ALLETE Inc,,table_4,Sub-bituminous coal,Natural gas,2015,47.529953,-92.162,MN,,116.0
Trenton Channel,,,,,DTE Electric Co,,table_4,Sub-bituminous coal,Battery Storage (4-hour 220 MW / 880 MWh),2022,42.122192,-83.180975,MI,,775.5
Valley,,,,,Wisconsin Electric Power Co,,table_4,Bituminous coal,Natural gas,2015,43.030242,-87.923903,WI,,272.0
Wyandotte Municipal Power Plant,,,,,Wyandotte Municipal Services Commission,,table_4,Bituminous coal,Natural gas,2017,42.208041,-83.14538,MI,,32.0
