object_id,line_id,line_type,status,owner,voltage_kv,voltage_class,inferred,substation_1,substation_2,naics_desc,shape_length
48996,162381,AC; OVERHEAD,IN SERVICE,TENNESSEE VALLEY AUTHORITY,161,100-161,N,TAP154299,TAP159900,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,5057.18700048076
48997,138597,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,HAMPDEN,PALMER,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,22043.3411929494
48999,138599,AC; OVERHEAD,IN SERVICE,UNION ELECTRIC CO - (MO),345,345,N,WEST NEW MADRID,TAP153821,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,60970.3101371147
48009,137412,AC; OVERHEAD,IN SERVICE,KCP&L GREATER MISSOURI OPERATIONS CO.,161,100-161,Y,UNKNOWN117585,UNKNOWN117632,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,46414.2700185816
48011,137409,AC; OVERHEAD,NOT AVAILABLE,NOT AVAILABLE,230,220-287,Y,CHALK POINT,NOT AVAILABLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3080.09399974907
48015,137418,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN115688,TAP141867,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,76.0070473582111
48017,137434,AC; OVERHEAD,IN SERVICE,"SOUTHSIDE ELECTRIC COOP, INC",115,100-161,Y,UNKNOWN121377,TAP146714,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2650.62715884907
48019,137435,AC; OVERHEAD,IN SERVICE,MISSISSIPPI POWER CO,230,220-287,N,UNKNOWN110004,UNKNOWN110434,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,30130.561589833
48505,138014,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,TAP142650,TAP142651,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,8238.75702666989
48506,138012,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,N,BRUNSWICK,LAWRENCEVILLE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,8660.72728411067
48006,137414,AC; OVERHEAD,IN SERVICE,ENTERGY MISSISSIPPI INC,230,220-287,Y,TAP145961,SOUTHWEST JACKSON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,3468.45276718874
48021,137437,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,115,100-161,Y,UNKNOWN133386,UNKNOWN134273,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,286.500570642914
48022,137439,AC; OVERHEAD,IN SERVICE,AMERICAN TRANSMISSION CO,138,100-161,N,DARLINGTON,NORTH MONROE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,55284.7611342378
48024,137441,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,UNKNOWN115178,TAP147407,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,13413.0999846368
48025,137445,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,345,345,N,AXTELL,PAULINE,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,103343.267591143
48026,137446,AC; OVERHEAD,IN SERVICE,UNION ELECTRIC CO - (MO),161,100-161,Y,UNKNOWN117168,UNKNOWN117723,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,32793.579643127
48027,137447,AC; OVERHEAD,IN SERVICE,"ENTERGY NEW ORLEANS, LLC",115,100-161,Y,SHERWOOD FOREST,MICHOUD STATION,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,6341.79862387598
48028,166003,AC; OVERHEAD,IN SERVICE,NIAGARA MOHAWK POWER CORP.,115,100-161,Y,E BATAVIA,TAP161087,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1444.86480697314
48030,137450,AC; OVERHEAD,IN SERVICE,VIRGINIA ELECTRIC & POWER CO,230,220-287,N,UNKNOWN115111,UNKNOWN115497,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,2002.96126259386
48031,137451,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,UNKNOWN109247,UNKNOWN111756,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,12930.551013767
48032,137453,AC; OVERHEAD,IN SERVICE,"DUKE ENERGY CAROLINAS, LLC",100,100-161,Y,UNKNOWN110741,UNKNOWN114342,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,10825.9871049012
48033,137454,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,115,100-161,Y,UNKNOWN115639,TAP142206,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1985.42823769155
48034,137457,AC; OVERHEAD,IN SERVICE,NOT AVAILABLE,230,220-287,Y,SOUTH MANHEIM,BRUNNER ISLAND,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,38883.5075137212
48039,137465,AC; OVERHEAD,IN SERVICE,GEORGIA POWER CO,230,220-287,Y,UNKNOWN116620,UNKNOWN116622,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,4014.10764955755
48040,137466,AC; OVERHEAD,IN SERVICE,NORTHERN INDIANA PUB SERV CO,138,100-161,Y,UNKNOWN122538,UNKNOWN128012,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,1159.20645115358
48041,137467,AC; OVERHEAD,IN SERVICE,PROGRESS ENERGY CAROLINAS INC,115,100-161,Y,TAP146642,TAP146643,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,443.422764904857
48042,137469,AC; OVERHEAD,IN SERVICE,ALABAMA POWER CO,115,100-161,Y,TAP142678,SOUTH JEFFERSON,ELECTRIC BULK POWER TRANSMISSION AND CONTROL,11064.9936022047
