geo_id,county_name,location_factor
38053,McKenzie County,1.01
18085,Kosciusko County,1.01
34015,Gloucester County,1.15
33011,Hillsborough County,1.04
30045,Judith Basin County,0.99
37121,Mitchell County,0.99
41065,Wasco County,1.09
46105,Perkins County,0.99
19173,Taylor County,1.005
1129,Washington County,0.99
39039,Defiance County,0.99
51051,Dickenson County,1.0
51007,Amelia County,1.0
13243,Randolph County,1.02
35029,Luna County,1.03
56045,Weston County,0.99
17187,Warren County,1.18
1089,Madison County,0.99
47189,Wilson County,1.02
48063,Camp County,0.95
40067,Jefferson County,0.97
54085,Ritchie County,1.01
19145,Page County,1.005
20087,Jefferson County,0.99
1049,DeKalb County,0.99
36101,Steuben County,1.17
42053,Forest County,1.085
26109,Menominee County,1.0350000000000001
18073,Jasper County,1.01
13171,Lamar County,1.02
18151,Steuben County,1.01
39047,Fayette County,0.99
25015,Hampshire County,1.15
21003,Allen County,1.01
37001,Alamance County,0.99
20073,Greenwood County,0.99
55089,Ozaukee County,1.03
45059,Laurens County,1.02
56011,Crook County,0.99
55117,Sheboygan County,1.03
25013,Hampden County,1.15
48055,Caldwell County,0.95
20029,Cloud County,0.99
1037,Coosa County,0.99
55123,Vernon County,1.03
48223,Hopkins County,0.95
36001,Albany County,1.17
48225,Houston County,0.95
39111,Monroe County,0.99
20165,Rush County,0.99
18107,Montgomery County,1.01
20187,Stanton County,0.99
21129,Lee County,1.01
27071,Koochiching County,1.05
48029,Bexar County,0.95
40097,Mayes County,0.97
31131,Otoe County,0.99
27161,Waseca County,1.05
47177,Warren County,1.02
17023,Clark County,1.18
21201,Robertson County,1.01
5051,Garland County,1.0
20139,Osage County,0.99
39155,Trumbull County,0.99
48333,Mills County,0.95
48359,Oldham County,0.95
42019,Butler County,1.085
20115,Marion County,0.99
51029,Buckingham County,1.0
36099,Seneca County,1.17
21125,Laurel County,1.01
13269,Taylor County,1.02
51830,Williamsburg city,1.0
48415,Scurry County,0.95
37119,Mecklenburg County,0.99
34013,Essex County,1.15
29115,Linn County,1.065
13209,Montgomery County,1.02
41055,Sherman County,1.09
54053,Mason County,1.01
54021,Gilmer County,1.01
28063,Jefferson County,0.97
30103,Treasure County,0.99
21049,Clark County,1.01
26005,Allegan County,1.0350000000000001
27015,Brown County,1.05
47137,Pickett County,1.02
51109,Louisa County,1.0
18145,Shelby County,1.01
30091,Sheridan County,0.99
31063,Frontier County,0.99
1007,Bibb County,0.99
28075,Lauderdale County,0.97
27013,Blue Earth County,1.05
51091,Highland County,1.0
51177,Spotsylvania County,1.0
33017,Strafford County,1.04
13153,Houston County,1.02
26035,Clare County,1.0350000000000001
20157,Republic County,0.99
40017,Canadian County,0.97
35019,Guadalupe County,1.03
21163,Meade County,1.01
21179,Nelson County,1.01
21187,Owen County,1.01
19041,Clay County,1.005
30025,Fallon County,0.99
48109,Culberson County,0.95
23005,Cumberland County,1.02
48013,Atascosa County,0.95
20095,Kingman County,0.99
48375,Potter County,0.95
40133,Seminole County,0.97
45003,Aiken County,1.02
60020,Manu'a District,
69120,Tinian Municipality,
56037,Sweetwater County,0.99
48169,Garza County,0.95
42119,Union County,1.085
51041,Chesterfield County,1.0
19001,Adair County,1.005
29089,Howard County,1.065
55079,Milwaukee County,1.03
27139,Scott County,1.05
39129,Pickaway County,0.99
51145,Powhatan County,1.0
8014,Broomfield County,0.98
47099,Lawrence County,1.02
21099,Hart County,1.01
21137,Lincoln County,1.01
30005,Blaine County,0.99
27133,Rock County,1.05
42063,Indiana County,1.085
22061,Lincoln Parish,1.02
42099,Perry County,1.085
46137,Ziebach County,0.99
48203,Harrison County,0.95
29019,Boone County,1.065
72097,Mayagüez Municipio,
40015,Caddo County,0.97
8059,Jefferson County,0.98
54011,Cabell County,1.01
48383,Reagan County,0.95
5141,Van Buren County,1.0
20035,Cowley County,0.99
5071,Johnson County,1.0
51045,Craig County,1.0
48083,Coleman County,0.95
4017,Navajo County,1.01
28085,Lincoln County,0.97
48357,Ochiltree County,0.95
48103,Crane County,0.95
56003,Big Horn County,0.99
31061,Franklin County,0.99
20037,Crawford County,0.99
27023,Chippewa County,1.05
46103,Pennington County,0.99
45049,Hampton County,1.02
16043,Fremont County,1.02
51053,Dinwiddie County,1.0
12111,St. Lucie County,0.975
36055,Monroe County,1.17
46083,Lincoln County,0.99
55017,Chippewa County,1.03
55073,Marathon County,1.03
32007,Elko County,1.1
54007,Braxton County,1.01
